Nombre,Tamaño,Microsegundos
Backtrack,22,11983
Backtrack,22,12012
Backtrack,22,11992
Backtrack,22,11981
Backtrack,22,11985
Backtrack,22,11990
Backtrack,22,11969
Backtrack,22,11963
Backtrack,22,11970
Backtrack,22,11978
Backtrack,22,11972
Backtrack,22,11990
Backtrack,23,21834
Backtrack,23,21637
Backtrack,23,21627
Backtrack,23,21624
Backtrack,23,21649
Backtrack,23,21633
Backtrack,23,21646
Backtrack,23,21692
Backtrack,23,21711
Backtrack,23,21652
Backtrack,23,21627
Backtrack,23,21618
Backtrack,23,21631
Backtrack,23,21631
Backtrack,23,21629
Backtrack,23,21655
Backtrack,23,21668
Backtrack,23,21718
Backtrack,23,21616
Backtrack,23,21636
Backtrack,24,34692
Backtrack,24,34515
Backtrack,24,34496
Backtrack,24,34552
Backtrack,24,34557
Backtrack,24,34716
Backtrack,24,34509
Backtrack,24,34589
Backtrack,24,34510
Backtrack,24,34499
Backtrack,24,34491
Backtrack,24,34487
Backtrack,24,34588
Backtrack,24,34560
Backtrack,24,34500
Backtrack,24,34507
Backtrack,24,34483
Backtrack,24,34493
Backtrack,24,34677
Backtrack,24,34689
Backtrack,25,51566
Backtrack,25,51566
Backtrack,25,51461
Backtrack,25,51564
Backtrack,25,51607
Backtrack,25,51646
Backtrack,25,51527
Backtrack,25,51514
Backtrack,25,51584
Backtrack,25,51501
Backtrack,25,51438
Backtrack,25,51669
Backtrack,25,51508
Backtrack,25,51562
Backtrack,25,51568
Backtrack,25,51580
Backtrack,25,51505
Backtrack,25,51453
Backtrack,25,51547
Backtrack,25,51499
Backtrack,26,80307
Backtrack,26,80040
Backtrack,26,80038
Backtrack,26,80104
Backtrack,26,80199
Backtrack,26,80164
Backtrack,26,80104
Backtrack,26,80129
Backtrack,26,80174
Backtrack,26,80122
Backtrack,26,79997
Backtrack,26,79998
Backtrack,26,80095
Backtrack,26,79978
Backtrack,26,80126
Backtrack,26,80176
Backtrack,26,80127
Backtrack,26,80053
Backtrack,26,80045
Backtrack,26,80101
Backtrack,27,136535
Backtrack,27,136165
Backtrack,27,136111
Backtrack,27,136221
Backtrack,27,136224
Backtrack,27,136059
Backtrack,27,136303
Backtrack,27,136124
Backtrack,27,136257
Backtrack,27,136120
Backtrack,27,137836
